Id,Name,Mode,Score,HatId,FaceId,ColourId
0,donavan lim,TOTAL,456,12,7,4
0,donavan lim,SPS,36,12,7,4
0,donavan lim,FIVESTONES,257,12,7,4
0,donavan lim,CHAPTEH,163,12,7,4
1,Larry,TOTAL,201,9,5,5
1,Larry,SPS,201,9,5,5
2,jebediah,TOTAL,434,10,4,3
2,jebediah,FLAPPY,66,10,4,3
2,jebediah,COUNTRY_ERASERS,6,10,4,3
2,jebediah,FIVESTONES,204,10,4,3
2,jebediah,CHAPTEH,158,10,4,3
3,dante,TOTAL,678,15,4,1
3,dante,FLAPPY,79,15,4,1
3,dante,FIVESTONES,291,15,4,1
3,dante,CHAPTEH,308,15,4,1
4,jack neo,TOTAL,368,6,2,2
4,jack neo,SPS,19,6,2,2
4,jack neo,FIVESTONES,349,6,2,2
5,Prince Horace,TOTAL,693,8,2,4
5,Prince Horace,COUNTRY_ERASERS,654,8,2,4
5,Prince Horace,FLAPPY,39,8,2,4
6,Neji,TOTAL,486,0,10,6
6,Neji,CHAPTEH,306,0,10,6
6,Neji,SPS,26,0,10,6
6,Neji,FIVESTONES,154,0,10,6
7,SCP-049,TOTAL,392,23,16,5
7,SCP-049,COUNTRY_ERASERS,290,23,16,5
7,SCP-049,SPS,32,23,16,5
7,SCP-049,FLAPPY,70,23,16,5
8,Scrooge,TOTAL,1462,21,12,3
8,Scrooge,COUNTRY_ERASERS,190,21,12,3
8,Scrooge,FLAPPY,71,21,12,3
8,Scrooge,FIVESTONES,672,21,12,3
8,Scrooge,SPS,393,21,12,3
8,Scrooge,CHAPTEH,136,21,12,3
9,The Joker,TOTAL,1675,18,13,4
9,The Joker,COUNTRY_ERASERS,350,18,13,4
9,The Joker,FLAPPY,120,18,13,4
9,The Joker,FIVESTONES,334,18,13,4
9,The Joker,SPS,171,18,13,4
9,The Joker,HANGMAN,580,18,13,4
9,The Joker,CHAPTEH,120,18,13,4
10,Haytham Kenway,TOTAL,610,20,17,3
10,Haytham Kenway,COUNTRY_ERASERS,610,20,17,3
11,Thomas Shelby,TOTAL,1997,23,4,7
11,Thomas Shelby,FLAPPY,110,23,4,7
11,Thomas Shelby,CHAPTEH,84,23,4,7
11,Thomas Shelby,SPS,413,23,4,7
11,Thomas Shelby,COUNTRY_ERASERS,1390,23,4,7
12,JJ Lin,TOTAL,852,17,2,0
12,JJ Lin,HANGMAN,852,17,2,0
13,Devan Nair,TOTAL,198,15,6,1
13,Devan Nair,FLAPPY,75,15,6,1
13,Devan Nair,CHAPTEH,123,15,6,1
14,Mr Happy,TOTAL,463,16,13,3
14,Mr Happy,SPS,218,16,13,3
14,Mr Happy,HANGMAN,245,16,13,3
15,qrrtdang,TOTAL,9,12,10,0
15,qrrtdang,FLAPPY,9,12,10,0
16,ogaboga,TOTAL,351,5,4,1
16,ogaboga,HANGMAN,351,5,4,1
17,Jeff Johanssen,TOTAL,781,0,7,6
17,Jeff Johanssen,HANGMAN,1,0,7,6
17,Jeff Johanssen,COUNTRY_ERASERS,780,0,7,6
18,The Riddler,TOTAL,588,9,14,4
18,The Riddler,HANGMAN,352,9,14,4
18,The Riddler,FLAPPY,76,9,14,4
18,The Riddler,SPS,160,9,14,4
19,hhh,TOTAL,0,1,1,1
20,oh no,TOTAL,0,0,0,3
21,Gag Account,TOTAL,420,0,9,7
21,Gag Account,COUNTRY_ERASERS,420,0,9,7
22,James cordon,TOTAL,86,22,5,7
22,James cordon,FLAPPY,86,22,5,7
23,The Cyan Guy,TOTAL,126,0,2,6
23,The Cyan Guy,FLAPPY,126,0,2,6
24,your Mom nurse,TOTAL,130,14,12,6
24,your Mom nurse,SPS,130,14,12,6
25,fearless,TOTAL,0,0,3,1
26,vader,TOTAL,51,0,17,3
26,vader,FLAPPY,51,0,17,3